As At,Year,Month number,Offence category,Offence type,Alcohol involvement,DV involvement,Reporting Region,Statistical Area 2,Number of offences,Crime Type,Date
1/04/2026,2023,12,01 Homicide,0132 Driving causing death,Unknown,Unknown,Darwin,,1,Homicide,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,Darwin,,46,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,Palmerston,,16,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,Alice Springs,,28,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,Katherine,,14,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,Tennant Creek,,5,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,Nhulunbuy,,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,East Arnhem,5,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,Elsey,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,Gulf,7,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,Howard Springs,3,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,Humpty Doo,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,Petermann - Simpson,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,Tanami,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,Thamarrurr,4,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,Tiwi Islands,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,Virginia,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,No,NT Balance,Unknown ,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,Darwin,,23,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,Palmerston,,12,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,Alice Springs,,60,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,Katherine,,22,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,Tennant Creek,,4,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Alligator,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Anindilyakwa,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Barkly,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Daly,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,East Arnhem,17,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Elsey,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Gulf,9,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Petermann - Simpson,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Sandover - Plenty,3,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Tanami,11,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Thamarrurr,10,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Tiwi Islands,3,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Victoria River,8,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Weddell,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,West Arnhem,13,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Yuendumu - Anmatjere,13,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,No,Yes,NT Balance,Unknown ,2,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,Darwin,,47,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,Palmerston,,7,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,Alice Springs,,19,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,Katherine,,10,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,Tennant Creek,,7,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,Nhulunbuy,,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,NT Balance,Daly,1,Assault,2023-12-01
1/04/2026,2023,12,02 Assault,021 Serious Assault,Yes,No,NT Balance,East Arnhem,1,Assault,2023-12-01
