Date,Predicted Offences,Year,Month Name,Type
2024-01-01,3291,2024,Jan,Actual
2024-02-01,2683,2024,Feb,Actual
2024-03-01,2671,2024,Mar,Actual
2024-04-01,2562,2024,Apr,Actual
2024-05-01,2818,2024,May,Actual
2024-06-01,2666,2024,Jun,Actual
2024-07-01,2818,2024,Jul,Actual
2024-08-01,3005,2024,Aug,Actual
2024-09-01,3036,2024,Sep,Actual
2024-10-01,2918,2024,Oct,Actual
2024-11-01,3161,2024,Nov,Actual
2024-12-01,3166,2024,Dec,Actual
2025-01-01,2877,2025,Jan,Actual
2025-02-01,2572,2025,Feb,Actual
2025-03-01,2917,2025,Mar,Actual
2025-04-01,2803,2025,Apr,Actual
2025-05-01,2894,2025,May,Actual
2025-06-01,2623,2025,Jun,Actual
2025-07-01,2581,2025,Jul,Actual
2025-08-01,2317,2025,Aug,Actual
2025-09-01,2527,2025,Sep,Actual
2025-10-01,2612,2025,Oct,Actual
2025-11-01,2482,2025,Nov,Actual
2025-12-01,2576,2025,Dec,Actual
2026-03-01,2362,2026,Mar,Predicted
2026-04-01,2296,2026,Apr,Predicted
2026-05-01,2227,2026,May,Predicted
2026-06-01,2153,2026,Jun,Predicted
2026-07-01,2076,2026,Jul,Predicted
2026-08-01,1995,2026,Aug,Predicted
2026-09-01,1910,2026,Sep,Predicted
2026-10-01,1821,2026,Oct,Predicted
2026-11-01,1729,2026,Nov,Predicted
2026-12-01,1633,2026,Dec,Predicted
